topicGroup,topicGroup_title,topicGroup_desc,topic,topic_title,topic_image,topic_desc,topic_tags,topic_allowRandom,topic_allowPlayer,item,item_title,item_body,item_orderIndex,tag,tag_title,tag_desc
,,,,,,,,,,q28,,"Какое животное или растение, по вашему мнению, должно быть переименовано?",,,,
,,,,,,,,,,q29,,Какое приложение ты хочешь чтобы кто-нибудь сделал?,,,,
,,,,,,,,,,q30,,"Какая апокалиптическая дистопия, по вашему мнению, наиболее вероятна?",,,,
,,,,,,,,,,q31,,"Если бы вы построили тематический отель, какой была бы тема и как бы выглядели номера?",,,,
,,,,,,,,,,q32,,"Если бы у вас был ресторан, какую еду он бы подал?",,,,
,,,,,,,,,,q33,,Какой самый скучный супергерой вы можете придумать?,,,,
,,,,,,,,,,q34,,"Что законно сейчас, но, вероятно, не будет через 25 лет?",,,,
,,,,,,,,,,q35,,"Какое научное открытие изменило бы курс человечества в одночасье, если бы оно было открыто?",,,,
,,,,,,,,,,q36,,"Какое животное было бы самым симпатичным, если уменьшить его до размера кошки?",,,,
,,,,,,,,,,q37,,"Если бы вы жили в мире виртуальной реальности своего собственного творения, как бы это выглядело?",,,,
,,,,,,,,,,q38,,"Если бы магия была настоящей, какое заклинание ты бы попытался выучить первым?",,,,
,,,,,,,,,,q39,,Что противоположно коале?,,,,
,,,topical,На злобу дня,icons8-today-50.png,Об интересных событиях современности и недавнего прошлого,,1,1,,,,,,,
,,,,,,,,,,q1,Геи в Берлине,Курьёзный случай со свадьбой,,,,
,,,,,,,,,,q2,Проблема Вкусвилла,Противоречивая реклама,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
therapy,Психотерапетические вопросы,"Вопросы, которые помогают как-то переосмыслить свой опыт и идентичность можно использовать для себя с помощью плеера)",,,,,,,,,,,,,,
,,,deconst,Деконструкция,icons8-puzzle-50.png,Вопросы для анализа важных идей в вашей жизни,,0,1,,,,,,,
,,,,,,,,,,q1,Вопрос 1,Как вы познакомились с этой идеей? От кого или откуда узнали о ней? Когда впервые об этом подумали?,,,,
,,,,,,,,,,q2,Вопрос 2,"Как эта идея появилась исторически? Кто это придумал, начал говорить об этом? Когда? Почему? При каких условиях?",,,,
,,,,,,,,,,q3,Вопрос 3,Кто разделяет эту идею? Все ли понимают её одинаково?,,,,
,,,,,,,,,,q4,Вопрос 4,Как распространяется эта идея? Откуда люди узнают о ней? Как знакомятся с ней? Почему начинают её разделять?,,,,
,,,,,,,,,,q5,Вопрос 5,"Кто и что способствует распространению этой идеи? Кто её поддерживает? Есть ли кто-то, кому она выгодна?",,,,
,,,,,,,,,,q6,Вопрос 6,Кто и что противостоит этой идее? Почему они противостоят? Какие средства используют?,,,,
,,,,,,,,,,q7,Вопрос 7,"Какие есть альтернативные идеи? Знаете ли вы другие точки зрения на эту проблему? Если не знаете, можете ли придумать?",,,,
,,,,,,,,,,q8,Вопрос 8,"Как эта идея влияет на вашу жизнь? Что из неё следует? Что заставляет делать? Что не дает? Что будет, если не подчиняться идее, действовать вопреки? В каких условиях работает эта идея? Есть ли исключения?",,,,
,,,,,,,,,,q9,Вопрос 9,"Нравится ли вам влияние этой идеи на вашу жизнь? Почему вы оцениваете его именно так? Каким вашим ценностям, важным для вас вещам она мешает? Каким помогает?",,,,
,,,,,,,,,,q10,Вопрос 10,Что бы вы хотели сделать с этой идеей теперь? Отказаться от неё? Сохранить? Переформулировать? Кто или что может вам в этом помочь?,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
cognitive,Когнитивные техники,"Техники, которые помогают найти решение какой-то проблемы (можно использовать для себя с помощью плеера)",,,,,,,,,,,,,,
,,,bisociation,Бисоциации,icons8-maracas-50.png,"Техника, предложенная Артуром Кеслером в книга Акт творчества. Основана на связывании разных контекстов, идей из областей, которые кажутся несвязанными. Стимулирует творческое мышление для нахождения неожиданных решений. В качестве дополнительной области на втором шаге лучше выбирать то, в чем хорошо разбираешься. ",,0,1,,,,,,,
,,,,,,,,,,q1,Определение проблемы,"Как можно более точно и полно опишите проблему, дайте её краткое опредление.",1,,,
,,,,,,,,,,q2,Вторая матрица мышления,"Что похоже на то, с чем вы столкнулись? Что похоже на желаемый результат? В какой области уже есть похожее решение? В какой области работает то, что не работает в вашей области? Если ничего не приходит в голову, можно выбрать любую область из знакомых вам.",2,,,
,,,,,,,,,,q3,Поиск аналогий,"Чем похожи решения в двух областях, чем они отличаются? Какие есть общие принципы и закономерности, которые можно перенести в вашу область? Что на первый взгляд ну никак нельзя перенести?",3,,,
,,,,,,,,,,q4,Перенос решений,"Какие удачные решения из второй области можно перенести на рассматриваемую проблему? Как это сделать? Что нужно, чтобы их адаптировать? Какие преимущества это даст, какие могут быть ограничения?",4,,,
,,,pmi,Плюс-Минус-Интересно,icons8-plus-+-50.png,"Техника базовой систематизации мышления, предложенная Эдвардом де Боно. Простая, но предоставляет какую-то структуру для рассмотрения проблемы. Не обязательно отвечать последовательно, можно возвращаться туда-обратно, дополнять. ",,0,1,,,,,,,
,,,,,,,,,,q1,Плюс,"Позитивные аспекты проблемы, потенциальные выгоды, результаты, успехи, положительные эмоции",1,,,
,,,,,,,,,,q2,Минус,"Негативные аспекты проблемы, настоящий или потенциальный ущерб, нежелательные результаты, отрицательные эмоции.",2,,,
,,,,,,,,,,q3,Интересно,"То, что нельзя отнести к предыдущим пунктам, интересные наблюдения, гипотезы, догадки, идеи.",3,,,
,,,polya,Вопросы Пойи,icons8-girl-and-math-equation-50.png,"Серия вопросов для того чтобы организовано подойти к задаче с неизвестными решением. Эту технику придумал Дьёрдь Пойа, изначательно для решения математических задач. Тут она адаптирована для использования в контексте повседневности. ",,0,1,,,,,,,
,,,,,,,,,,q1,Шаг 1,Что известно? Что неизвестно? Каковы условия решения задачи? Можно ли их выполнить?,1,,,
,,,,,,,,,,q2,Шаг 2,Достаточны ли эти условия для решения? Есть ли среди них излишние? Есть ли противоречивые?,2,,,
,,,,,,,,,,q3,Шаг 3,"Встречалась ли эта задача раньше? Может быть, вы встречали её в какой-то другой форме?",3,,,
,,,,,,,,,,q4,Шаг 4,"Известна ли какая-то похожая задача? Может быть, вы знаете другую задачу, в которой были похожие условия?",4,,,
,,,,,,,,,,q5,Шаг 5,"Можно ли перенести какие-то элементы известной задачи? Как из нужно адаптировать, чтобы они подошли?",5,,,
,,,,,,,,,,q6,Шаг 6,Можно ли переформулировать проблему? Выразить её по-другому?,6,,,
,,,,,,,,,,q7,Шаг 7,Можно ли придумать какую-то более общую задачу? Или более специфическую? Можно ли решить эту новую задачу или её часть?,7,,,
,,,,,,,,,,q8,Шаг 8,"Станет ли легче решить задачу, если отбросить часть условий? Что изменилось?",8,,,
,,,,,,,,,,q9,Шаг 9,"Как нужно изменить начальные условия, чтобы стало понятно, как решить задачу?",9,,,
,,,,,,,,,,q10,Шаг 10,"Всё ли, что известно о задаче, вы использовали? Все ли существенные аспекты рассмотрены?",10,,,
,,,,,,,,,,q11,Шаг 11,"Учитывая все предыдущие рассуждения, попробуйте составить план решения.",11,,,
,,,,,,,,,,q12,Шаг 12,"Как контролировать этапы этого плана? Как для каждого шага понять, что он привел к нужным результатам?",12,,,
,,,,,,,,,,q13,Шаг 13,"Представьте, что задача решена. Как проверить результат? Как убедиться, что это именно то, что нужно?",13,,,
,,,,,,,,,,q14,Шаг 14,"Может быть, вам приходит в голову другой способ, которым можно решить эту задачу? Какое решение кажется самым простым и интуитивным?",14,,,
,,,,,,,,,,q15,Шаг 15,"Есть ли какие-то конкретные действия, которые вы хотите наметить по результатам этих рассуждений?",15,,,
